from,to,distance_km,vehicle_type,fuel_type,traffic_level,road_type,co2_emission
Kochi,Indore,2000,bike,diesel,medium,highway,278.96
Indore,Nagpur,1084,bike,electric,high,highway,22.0
Bhopal,Bangalore,1443,bus,electric,low,rural,57.07
Indore,Patna,1568,bus,petrol,high,highway,294.95
Visakhapatnam,Pune,2094,bike,petrol,low,city,234.59
Visakhapatnam,Madurai,541,bus,petrol,medium,rural,107.95
Coimbatore,Pune,595,bike,petrol,medium,city,113.56
Indore,Jaipur,1249,car,electric,low,rural,39.53
Pune,Kochi,1409,bike,electric,high,city,63.36
Bhopal,Chennai,159,bike,petrol,medium,rural,27.31
Pune,Jaipur,1926,bike,electric,medium,highway,33.21
Mysore,Indore,2119,car,electric,low,city,62.14
Ranchi,Ahmedabad,1453,bike,diesel,medium,rural,183.32
Chandigarh,Coimbatore,128,car,diesel,medium,city,20.43
Lucknow,Bhopal,1017,car,electric,medium,rural,35.88
Kochi,Goa,402,bike,petrol,low,city,66.67
Madurai,Bangalore,266,bike,petrol,medium,highway,52.55
Hyderabad,Madurai,685,bike,diesel,high,highway,101.19
Lucknow,Madurai,1891,car,electric,medium,rural,33.34
Visakhapatnam,Indore,1167,bike,petrol,medium,city,113.31
Jaipur,Goa,1783,car,petrol,medium,city,345.19
Ranchi,Delhi,1461,bike,electric,low,rural,55.53
Madurai,Visakhapatnam,1824,bike,petrol,medium,city,335.62
Coimbatore,Jaipur,2098,bus,diesel,medium,city,320.46
Ahmedabad,Bhubaneswar,1514,bike,electric,medium,rural,25.21
Ranchi,Trivandrum,1915,bike,petrol,medium,city,212.96
Ahmedabad,Patna,1902,bus,electric,medium,rural,72.94
Kolkata,Jaipur,141,bike,electric,low,highway,2.66
Pune,Delhi,703,car,diesel,high,city,102.95
Mumbai,Nagpur,109,bike,electric,medium,highway,2.55
Jaipur,Madurai,1239,bike,electric,low,rural,23.67
Pune,Kolkata,1449,bike,diesel,medium,rural,262.95
Hyderabad,Visakhapatnam,317,car,diesel,low,city,48.87
